id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur,NumOfVotes
7952,1,2,0.333333,0.666667,3
7956,2,1,0.666667,0.333333,3
7958,106,73,0.592179,0.407821,179
7962,80,57,0.583942,0.416058,137
7963,2,2,0.500000,0.500000,4
7968,1,4,0.200000,0.800000,5
7972,1,16,0.058824,0.941176,17
7973,63,30,0.677419,0.322581,93
7974,1,0,1.000000,0.000000,1
7975,12,5,0.705882,0.294118,17
7976,56,25,0.691358,0.308642,81
7980,4,2,0.666667,0.333333,6
7987,46,14,0.766667,0.233333,60
7991,1,2,0.333333,0.666667,3
7992,24,51,0.320000,0.680000,75
7993,2,10,0.166667,0.833333,12
7996,148,96,0.606557,0.393443,244
8000,8,3,0.727273,0.272727,11
8001,27,7,0.794118,0.205882,34
8002,3,4,0.428571,0.571429,7
8003,93,69,0.574074,0.425926,162
8004,36,10,0.782609,0.217391,46
8005,65,30,0.684211,0.315789,95
8013,6,1,0.857143,0.142857,7
8021,46,70,0.396552,0.603448,116
8023,1,3,0.250000,0.750000,4
8026,6,2,0.750000,0.250000,8
8027,225,187,0.546117,0.453883,412
8034,3,12,0.200000,0.800000,15
8037,0,1,0.000000,1.000000,1
8040,433,165,0.724080,0.275920,598
8041,148,130,0.532374,0.467626,278
8042,163,54,0.751152,0.248848,217
8047,22,8,0.733333,0.266667,30
8049,6,5,0.545455,0.454545,11
8052,38,7,0.844444,0.155556,45
8053,185,146,0.558912,0.441088,331
8054,9,0,1.000000,0.000000,9
8056,5,2,0.714286,0.285714,7
8067,0,1,0.000000,1.000000,1
8072,21,7,0.750000,0.250000,28
8074,0,1,0.000000,1.000000,1
8079,1,0,1.000000,0.000000,1
8083,129,102,0.558442,0.441558,231
8084,11,12,0.478261,0.521739,23
8085,38,29,0.567164,0.432836,67
8090,306,239,0.561468,0.438532,545
8091,349,217,0.616608,0.383392,566
8092,45,61,0.424528,0.575472,106
8093,2,5,0.285714,0.714286,7
8094,52,15,0.776119,0.223881,67
8099,96,24,0.800000,0.200000,120
8101,13,4,0.764706,0.235294,17
8103,3,2,0.600000,0.400000,5
8106,574,343,0.625954,0.374046,917
8107,1,9,0.100000,0.900000,10
8110,0,2,0.000000,1.000000,2
8112,6,1,0.857143,0.142857,7
8116,11,5,0.687500,0.312500,16
8119,32,7,0.820513,0.179487,39
8122,77,85,0.475309,0.524691,162
8124,68,59,0.535433,0.464567,127
8125,324,493,0.396573,0.603427,817
8127,194,93,0.675958,0.324042,287
8128,1,0,1.000000,0.000000,1
8129,5,2,0.714286,0.285714,7
8130,17,9,0.653846,0.346154,26
8136,49,12,0.803279,0.196721,61
8142,2,7,0.222222,0.777778,9
8149,0,1,0.000000,1.000000,1
8151,3,21,0.125000,0.875000,24
8153,12,18,0.400000,0.600000,30
8155,8,5,0.615385,0.384615,13
8158,27,16,0.627907,0.372093,43
8161,6,2,0.750000,0.250000,8
8163,57,36,0.612903,0.387097,93
8172,5,14,0.263158,0.736842,19
8174,18,11,0.620690,0.379310,29
8175,11,1,0.916667,0.083333,12
8176,11,20,0.354839,0.645161,31
8177,1,2,0.333333,0.666667,3
8180,2,3,0.400000,0.600000,5
8188,91,115,0.441748,0.558252,206
8190,33,5,0.868421,0.131579,38
